Lake;Transect_ID;Date;Diver;Position;Sampling_ID;Latitude;Longitude;Cloud_cover;Start_time;Segment;LeGi_Health;LeGi_Infected;Cyp_Health;Cyp_Infected;MiDo_Health;MiDo_Infected;AmRu_Health;AmRu_Infected;PeFl_Health;PeFl_Infected;Silt;Sand;Rock;Metric_block;Macrophyte;Mean_depth;Trunk;Temperature;Conductivity;DO;Turbidity;pH;TOC;TN;TP
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:13;20 - 30 m;0;0;0;0;1;0;0;0;0;0;0;30;63;7;0;80;3;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:16;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;20;75;5;1;70;2;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:19;40 - 50 m ;0;0;0;0;1;0;0;0;0;0;0;20;60;20;1;100;3;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;0 - 10 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;10 - 20 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;20 - 30 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;30 - 40 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;40 - 50 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;0 - 10 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;10 - 20 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;20 - 30 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;30 - 40 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;40 - 50 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;0 - 10 m ;5;16;0;0;3;1;0;0;0;0;0;0;50;50;2;100;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;10 - 20 m;1;2;0;0;1;0;0;0;0;0;0;0;40;60;1;110;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;20 - 30 m;2;5;0;0;1;2;0;0;0;0;0;0;30;70;0;60;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;30 - 40 m;2;8;0;0;1;1;0;0;0;0;20;0;20;60;5;70;2;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
