"Lake","Transect_ID","Watershed","inf_fish","tot_fish","prev_fish","Sub1","Sub2","Macrophyte","MeanDepth.site","Trunk","Temp.T","Temp.L","Cond.T","Cond.L","DO.T","DO.L","Turb.T","Turb.L","pH.T","pH.L","TOC.T","TN_TP.T","TOC.L","TN_TP.L","TN.T","TN.L","TP.T","TP.L","Lake_area","Perimeter","Area_Perimeter","MeanDepth.lake","Max_depth","WRT","Drainage_area","Elevation","Connectivity","Centrarchids.T","Centrarchids.L","Species_richness.T","Species_richness.L","Diversity.T","Diversity.L","ShorelineComplx"
"Echo","ECHO4","Echo",17,24,0.708333333333333,0.896128689246813,1.6341587347946,11.5,51,17,23.3,23.96,159.6,166.22,9.71,9.914,2.12,2.104,7.96,8.106,5.72,30.6771632392671,5.674,34.0148988801992,593.87,527.75,19.3587,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,23,164,4,5,0.520833333333333,0.587264138925549,9.60621686787064
"Echo","ECHO5","Echo",30,144,0.208333333333333,1.7770186422812,0.352235676346665,58.5,52,10,24.6,23.96,166.3,166.22,10.18,9.914,1.56,2.104,8.25,8.106,5.67,39.6494112453284,5.674,34.0148988801992,520.91,527.75,13.1379,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,49,164,5,5,0.483699845679012,0.587264138925549,9.60621686787064
"Fournelle","FOUR1","Connelly",34,78,0.435897435897436,2.67244424727728,1.76092441588627,31.5,82,41,24.9,24.6666666666667,62.5,61.3,8.44,8.72,0.76,1.22333333333333,6.68,7.22333333333333,5.41,34.4177248794301,5.4,35.3508919085165,311.15,316.09,9.0404,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,78,561,2,4,0.491781722550953,0.416686718759894,7.08966455012741
"Fournelle","FOUR2","Connelly",129,198,0.651515151515151,2.63011045718752,1.09826599828769,9.6,125.5,26,24.5,24.6666666666667,60.7,61.3,8.94,8.72,1.58,1.22333333333333,7.38,7.22333333333333,5.42,31.8723358805309,5.4,35.3508919085165,328.25,316.09,10.2989,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,198,561,3,4,0.45684113865932,0.416686718759894,7.08966455012741
"Fournelle","FOUR3","Connelly",205,286,0.716783216783217,2.94141555764461,1.62389859754223,8.5,61.5,57,24.6,24.6666666666667,60.7,61.3,8.78,8.72,1.33,1.22333333333333,7.61,7.22333333333333,5.37,41.2640944797734,5.4,35.3508919085165,308.87,316.09,7.4852,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,285,561,4,4,0.298767665900533,0.416686718759894,7.08966455012741
"Morency","MORE1","Morency",266,294,0.904761904761905,2.14327882258237,0.390791237887542,8.5,30.5,15,24.8,23.575,132.7,129.175,10.38,9.68,2.38,1.8875,8.5,8.2775,4.49,47.4887850591696,4.335,47.8191561524895,356.75,352.475,7.5123,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,294,1233,2,3,0.0334351427645889,0.340675827944346,5.8000322776917
"Morency","MORE2","Morency",192,218,0.880733944954128,-1.0023965799258,-4.93838186947402,5.9,168,94,24,23.575,129.3,129.175,9.53,9.68,4.32,1.8875,8.16,8.2775,4.3,49.6089952847298,4.335,47.8191561524895,341.93,352.475,6.8925,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,218,1233,2,3,0.120191903038465,0.340675827944346,5.8000322776917
"Morency","MORE3","Morency",304,551,0.551724137931034,-2.62327310694643,-3.87463861378695,13.5,129,83,23.2,23.575,128.6,129.175,9.29,9.68,0.42,1.8875,8.17,8.2775,4.25,42.2384815479089,4.335,47.8191561524895,355.61,352.475,8.4191,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,551,1233,2,3,0.0426085553077888,0.340675827944346,5.8000322776917
"Morency","MORE4","Morency",116,449,0.258351893095768,-0.354294160395813,-2.54557851894317,57.3,58,31,22.3,23.575,126.1,129.175,9.52,9.68,0.43,1.8875,8.28,8.2775,4.3,53.3940931817841,4.335,47.8191561524895,355.61,352.475,6.6601,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,170,1233,3,3,0.481852768587458,0.340675827944346,5.8000322776917
"Pin_rouge","PINR1","Achigan",2,2,1,2.94141555764461,1.62389859754223,61,32.5,5,21,20.8666666666667,45.5,45.7,7.7,7.97,0.39,0.286666666666667,6.74,6.72333333333333,8.27,36.8321170022568,8.23666666666667,38.8865571241401,502.67,457.07,13.6476,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,2,217,1,4,0,0.338446554662771,5.59560898389602
"Pin_rouge","PINR2","Achigan",114,177,0.64406779661017,1.00767965999187,-1.32216917202975,23.3,56.5,37,20.9,20.8666666666667,45.9,45.7,8.13,7.97,0.35,0.286666666666667,6.42,6.72333333333333,8.29,34.2863737556494,8.23666666666667,38.8865571241401,460.49,457.07,13.4307,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,177,217,3,4,0.361007373360146,0.338446554662771,5.59560898389602
"Pin_rouge","PINR3","Achigan",33,43,0.767441860465116,2.85883327632522,1.64253842645715,9.2,26.5,20,20.7,20.8666666666667,45.7,45.7,8.08,7.97,0.12,0.286666666666667,7.01,6.72333333333333,8.15,49.8625282580803,8.23666666666667,38.8865571241401,408.05,457.07,8.1835,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,38,217,2,4,0.20551649540292,0.338446554662771,5.59560898389602
"Triton","TRIT1","Achigan",0,539,0,2.86793761512664,1.40606576901015,57.5,128.5,27,20.9,20.9,14.3,14.25,7.52,7.535,1.19,1.005,5.99,5.84,7.09,40.3894800660632,7.51,38.9058769746533,386.39,382.97,9.5666,9.8435,0.017,680,25,2.5,4.3,0.46,0.163,364,452.447,538,849,2,2,0.00370369095521506,0.00235017301038076,5.21536192416212
"Triton","TRIT2","Achigan",0,311,0,2.30221685984845,1.1305570001845,41,121,166,20.9,20.9,14.2,14.25,7.55,7.535,0.82,1.005,5.69,5.84,7.93,37.5034583613296,7.51,38.9058769746533,379.55,382.97,10.1204,9.8435,0.017,680,25,2.5,4.3,0.46,0.163,364,452.447,311,849,1,2,0,0.00235017301038076,5.21536192416212
